Time,Mass
1636,54.901
1638,54.9
1640,54.9
1642,54.9
1644,54.9
1646,54.9
1648,54.9
1650,54.9
1652,54.899
1654,54.899
1656,54.895
1658,54.898
1660,54.898
1662,54.898
1664,54.898
1666,54.898
1668,54.897
1670,54.896
1672,54.895
1674,54.896
1676,54.896
1678,54.898
1680,54.897
1682,54.896
1684,54.896
1686,54.896
1688,54.896
1690,54.896
1692,54.896
1694,54.895
1696,54.895
1698,54.894
1700,54.894
1702,54.894
1704,54.894
1706,54.894
1708,54.894
1710,54.894
1712,54.894
1714,54.893
1716,54.893
1718,54.893
1720,54.893
1722,54.893
1724,54.894
1726,54.894
1728,54.892
1730,54.894
1732,55.773
1734,55.773
1736,55.773
1738,55.773
1740,55.772
1742,55.772
1744,55.784
1746,55.784
1748,55.784
1750,55.784
1752,55.784
1754,55.784
1756,55.784
1758,55.784
1760,55.784
1762,55.779
1764,55.782
1766,55.783
1768,55.783
1770,55.782
1772,55.782
1774,55.781
1776,55.78
1778,55.779
1780,55.781
1782,55.78
1784,55.783
1786,55.782
1788,55.781
1790,55.781
1792,55.78
1794,55.779
1796,55.779
1798,55.779
1800,55.779
1802,55.779
1804,55.779
1806,55.779
1808,55.779
1810,55.779
1812,55.778
1814,55.778
1816,55.778
1818,55.779
1820,55.779
1822,55.779
1824,55.777
1826,56.332
1828,56.331
1830,56.33
1832,56.33
1834,56.33
1836,56.33
1838,56.33
1840,56.33
1842,56.33
1844,56.329
1846,56.329
1848,56.329
1850,56.329
1852,56.334
1854,56.334
1856,56.334
1858,56.336
1860,56.335
1862,56.334
1864,56.334
1866,56.333
1868,56.333
1870,56.333
1872,56.332
1874,56.332
1876,56.332
1878,56.332
1880,56.332
1882,56.332
1884,56.331
1886,56.331
1888,56.331
1890,56.331
1892,56.331
1894,56.331
1896,56.332
1898,56.332
1900,56.33
1902,56.904
1904,56.903
1906,56.903
1908,56.903
1910,56.902
1912,56.902
1914,56.902
1916,56.902
1918,56.902
1920,56.902
1922,56.902
1924,56.902
1926,56.902
1928,56.902
1930,56.901
1932,56.9
1934,56.898
1936,56.9
1938,56.9
1940,56.899
1942,56.899
1944,56.899
1946,56.897
1948,56.898
1950,56.897
1952,56.898
1954,56.899
1956,56.899
1958,56.899
1960,56.899
1962,56.898
1964,56.898
1966,56.897
1968,56.896
1970,56.896
1972,56.896
1974,56.896
1976,56.896
1978,56.896
1980,56.896
1982,56.896
1984,56.896
1986,56.896
1988,56.896
1990,56.896
1992,56.896
1994,56.895
1996,56.895
1998,56.895
2000,56.895
2002,56.895
2004,56.895
2006,56.894
2008,56.894
2010,56.894
2012,56.894
2014,56.894
2016,56.894
