ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
84,S84,12.4,0,0,0,0,0,12.3,0,0,0,0,0,2.5,0,0,0,0,1.5,71.3,1.022
85,S85,0,0,0,0,0,0,0,0,12.5,8.3,0,0,1.3,0,0,0,0,2.3,75.6,1.007
86,S86,12,0,0,0,0,0,0,0,10.8,0,0,0,1.8,0,0,0,0,2.5,72.9,1.017
87,S87,9.7,0,0,0,0,0,0,0,0,9.5,0,0,2.2,0,0,0,0,4,74.6,1.015
88,S88,11.4,0,0,0,0,0,0,0,0,0,10.5,0,1.8,0,0,0,0,4.9,71.4,1.015
89,S89,8.1,0,0,0,0,0,0,0,0,0,0,10.3,2.5,0,0,0,0,4.3,74.8,1.004
90,S90,0,11.3,12.1,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,2.6,71.4,1.023
91,S91,0,8.9,0,9.7,0,0,0,0,0,0,0,0,1.2,0,0,0,0,3.5,76.7,1.02
92,S92,0,8.5,0,0,12.5,0,0,0,0,0,0,0,2.2,0,0,0,0,4.9,71.9,1.022
93,S93,0,0,0,0,0,0,0,0,0,10.9,0,10.6,2.7,0,0,0,0,3.7,72.1,1.001
94,S94,0,8.3,0,0,0,0,12.4,0,0,0,0,0,1.4,0,0,0,0,1.9,76,1.018
95,S95,0,10.2,0,0,0,0,0,8.4,0,0,0,0,2.1,0,0,0,0,2.7,76.6,1.02
96,S96,0,8.5,0,0,0,0,0,0,12.5,0,0,0,2.7,0,0,0,0,4.4,71.9,1.015
97,S97,0,12.7,0,0,0,0,0,0,0,11,0,0,2.9,0,0,0,0,3.6,69.8,1.023
98,S98,0,11.8,0,0,0,0,0,0,0,0,9.5,0,2.6,0,0,0,0,2.7,73.4,1.018
99,S99,0,8.6,0,0,0,0,0,0,0,0,0,9.8,1.9,0,0,0,0,1.8,77.9,1.006
100,S100,0,0,12,9,0,0,0,0,0,0,0,0,2.8,0,0,0,0,4.1,72.1,1.017
101,S101,0,0,0,0,0,0,0,0,0,0,9.3,10.6,1.5,0,0,0,0,2.5,76.1,0.997
102,S102,0,0,9.6,0,0,8.8,0,0,0,0,0,0,2.3,0,0,0,0,3.3,76,1.014
103,S103,0,0,12.9,0,0,0,8.1,0,0,0,0,0,1.7,0,0,0,0,1.6,75.7,1.013
