ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,0.00,0.00,10.90,1.42,0.00,0.00,0.00,0.00,3.04,FALSE,NA,NA,NA
207,0.00,0.00,9.82,0.00,0.00,0.00,0.00,0.00,13.09,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,2.33,TRUE,22,10,TRUE
208,0.00,0.00,0.00,9.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,1.23,0.00,0.00,0.00,0.00,1.65,TRUE,21,339,FALSE
209,0.00,0.00,0.00,12.73,9.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,1.26,TRUE,19,6,TRUE
210,0.00,0.00,0.00,0.00,0.00,0.00,12.92,0.00,0.00,0.00,7.73,0.00,2.65,0.00,0.00,0.00,0.00,1.20,FALSE,NA,NA,NA
211,0.00,0.00,0.00,0.00,0.00,0.00,13.21,8.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,2.54,FALSE,NA,NA,NA
212,0.00,0.00,0.00,11.88,0.00,0.00,0.00,0.00,8.81,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,3.14,FALSE,NA,NA,NA
213,0.00,0.00,0.00,0.00,11.90,0.00,0.00,0.00,0.00,0.00,0.00,12.95,1.75,0.00,0.00,0.00,0.00,3.41,FALSE,NA,NA,NA
214,0.00,0.00,0.00,9.69,9.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,4.02,FALSE,NA,NA,NA
215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.09,0.00,0.00,12.41,1.98,0.00,0.00,0.00,0.00,3.55,FALSE,NA,NA,NA
